country,after_negotiation,before_negotiation,during_negotiation,no_negotiation,before_vs_during,during_vs_after,before_vs_after
Afghanistan,29.29276793098335,27.93498936771714,11.145631067961164,21.10421998631436,-16.789358299755975,18.147136863022183,1.3577785632662085
Albania,,,,2.1818181818181817,,,
Algeria,1.0,1.071347846076534,0.0,3.306081142134273,-1.071347846076534,1.0,-0.071347846076534
Angola,0.720101942631711,1.1983610861638276,0.0,1.4577168424362035,-1.1983610861638276,0.720101942631711,-0.4782591435321166
Argentina,,,,0.0,,,
Armenia,,,,3.9027777777777777,,,
Australia,,,,1.0,,,
Austria,,,,0.0,,,
Azerbaijan,,,,3.4727891156462585,,,
Bahrain,,,,0.0,,,
Bangladesh,,,,0.4764216366158114,,,
Belgium,,,,1.0,,,
Benin,,,,0.7631578947368421,,,
Bhutan,,,,2.0,,,
Bolivia,,,,0.2848101265822785,,,
Bosnia-Herzegovina,,3.2653061224489797,,20.531449893390192,,,
Botswana,,,,0.0,,,
Brazil,,,,0.2173314993122421,,,
Burkina Faso,,,,5.808029197080292,,,
Burundi,0.6730660664975048,2.069579561328416,0.19047619047619047,1.6140654954035911,-1.8791033708522253,0.4825898760213143,-1.396513494830911
Cambodia (Kampuchea),0.6348074175024843,0.5666977878572934,0.3894054663285432,0.6590719935446497,-0.17729232152875019,0.24540195117394104,0.06810962964519085
Cameroon,1.9583166177638283,1.4530926476575798,0.3909774436090226,1.9588264142081164,-1.0621152040485573,1.5673391741548057,0.5052239701062484
Canada,,,,0.021339220014716703,,,
Central African Republic,1.3703275826033317,1.5381401752369495,0.0,0.33386007255573436,-1.5381401752369495,1.3703275826033317,-0.1678125926336178
Chad,0.12330968001071092,0.3273774071868175,2.5,2.0048464356156663,2.1726225928131826,-2.3766903199892893,-0.2040677271761066
China,,,,1.817391304347826,,,
Colombia,2.539855072463768,10.501050190943808,,3.136182336182336,,,-7.96119511848004
Comoros,10.666666666666668,11.851851851851853,,7.047619047619048,,,-1.1851851851851851
Congo,1.132205513784461,1.678927203065134,,0.9096827651515151,,,-0.546721689280673
Croatia,,,,4.477386934673367,,,
DR Congo (Zaire),1.754809306307742,3.651339486684258,16.583333333333332,3.039091560484906,12.931993846649075,-14.82852402702559,-1.896530180376516
Djibouti,0.5517241379310345,1.54,14.0,0.3448275862068966,12.46,-13.448275862068966,-0.9882758620689656
Ecuador,,,,2.0689655172413794,,,
Egypt,0.0,1.6764705882352942,1.5,2.0582793709528215,-0.17647058823529416,-1.5,-1.6764705882352942
El Salvador,,,,11.567328918322296,,,
Eritrea,43.6455617628802,34.66081121833535,20.0,7.350165562913907,-14.660811218335347,23.6455617628802,8.984750544544852
Ethiopia,4.181756328408677,20.918754905345292,0.0,39.8159838631326,-20.918754905345292,4.181756328408677,-16.736998576936614
France,,,,0.11764705882352941,,,
Gambia,,,,0.0,,,
Georgia,,,,7.032467532467533,,,
Germany,,,,1.2,,,
Ghana,0.10730253353204174,0.062499999999999986,0.0,7.2,-0.062499999999999986,0.10730253353204174,0.04480253353204175
Guatemala,,0.0273972602739726,,0.1389155035347127,,,
Guinea,56.666666666666664,1.7894736842105263,,0.71875,,,54.87719298245614
Guinea-Bissau,0.08672044068463504,0.09007152770364042,0.08963585434173667,5.254669762641899,-0.0004356733619037545,-0.0029154136571016287,-0.003351087019005383
Guyana,,,,0.0,,,
Haiti,,,,0.2448700410396717,,,
Honduras,,,,0.08037578288100208,,,
India,10.4191854445654,4.515075518057626,,3.374830714200005,,,5.9041099265077746
Indonesia,,0.27091663799006754,,0.5486394465463994,,,
Iran,,,,0.7433061699650757,,,
Iraq,4.610625393090466,201.65477831279105,,9.364080417587553,,,-197.0441529197006
Israel,5.006741099641879,7.846153846153846,,1.9131288795451582,,,-2.839412746511967
Italy,,,,0.0,,,
Ivory Coast,2.263157894736842,4.759103641456583,8.0,0.4351933864777089,3.2408963585434174,-5.7368421052631575,-2.4959457467197406
Jamaica,,,,0.03862660944206007,,,
Jordan,,,,3.4444444444444446,,,
Kenya,0.28452333455067186,0.2641927159494213,2.0,0.6899987847378489,1.7358072840505787,-1.715476665449328,0.020330618601250572
Kingdom of eSwatini (Swaziland),,,,0.0,,,
Kuwait,,11.121839080459768,,2.6315935859230875,,,
Kyrgyzstan,0.9642857142857143,0.25471698113207547,0.75,4.949074074074074,0.49528301886792453,0.2142857142857143,0.7095687331536389
Laos,,,,0.06853582554517133,,,
Lebanon,5.341133515890797,0.25028678525842984,0.7617521367521368,1.274280381176933,0.511465351493707,4.57938137913866,5.090846730632367
Lesotho,,,,3.0,,,
Liberia,3.5,0.365100927737914,,0.4064460466430995,,,3.134899072262086
Libya,1.7202872260015116,2.2260471569321703,0.5577211394302849,5.212505138460211,-1.6683260175018853,1.1625660865712266,-0.5057599309306586
Madagascar (Malagasy),2.1,1.0579710144927537,,0.058823529411764705,,,1.0420289855072464
Malaysia,,,,1.9473684210526316,,,
Mali,3.631244813117842,1.201052788911084,3.519125683060109,2.9758884363228413,2.318072894149025,0.11211913005773289,2.4301920242067583
Malta,,,,0.0,,,
Mauritania,,,,0.1742627345844504,,,
Mexico,,,,0.19858906525573192,,,
Moldova,,,,7.032786885245901,,,
Morocco,1.1382978723404256,23.65714285714286,,0.0,,,-22.51884498480243
Mozambique,1.8561403964900878,1.8912176069414064,0.7971428571428572,2.975697112050359,-1.0940747497985492,1.0589975393472306,-0.03507721045131862
Myanmar (Burma),0.6424242424242425,0.08316510723055927,0.0,1.345433314238804,-0.08316510723055927,0.6424242424242425,0.5592591351936832
Namibia,5.5,5.5,,0.0,,,0.0
Nepal,,14.526315789473685,,3.4249874560963374,,,
Netherlands,,,,0.0,,,
Nicaragua,,,,1.0921052631578947,,,
Niger,0.47956403269754766,0.32439934971298706,0.0,2.6003227440087042,-0.32439934971298706,0.47956403269754766,0.1551646829845606
Nigeria,1.3029303498455573,1.371384372137592,0.0006393861892583117,5.70240373406273,-1.3707449859483336,1.302290963656299,-0.06845402229203468
North Macedonia,,,,0.4383561643835616,,,
Pakistan,11.077324478178369,7.907889489542716,,5.079481766776443,,,3.169434988635653
Panama,,,,70.0,,,
Papua New Guinea,,,,0.16062683643486778,,,
Paraguay,,,,0.0,,,
Peru,,0.0,,1.6391723356009071,,,
Philippines,,10.764548921145092,,2.5157331157998577,,,
Poland,,,,0.0,,,
Qatar,,,,0.0,,,
Romania,,,,1.1818181818181819,,,
Russia (Soviet Union),6.75,6.75,,2.4989754098360657,,,0.0
Rwanda,0.9270661066604439,4.546427560952653,0.5233050847457628,4.413829423699122,-4.02312247620689,0.4037610219146811,-3.619361454292209
Saudi Arabia,1.6142464595222996,1.906525859734633,5.533333333333333,2.9458333333333333,3.6268074735987,-3.9190868738110334,-0.29227940021233345
Senegal,1.7091396680437778,1.0219343921768693,,1.123936789327603,,,0.6872052758669085
Serbia (Yugoslavia),1.9936708860759493,2.3267900057298725,,4.590174212892508,,,-0.33311911965392316
Sierra Leone,0.14618535586277523,0.4896449819870775,,2.173843701307734,,,-0.34345962612430225
Solomon Islands,,,,0.0,,,
Somalia,2.3717378167280807,0.6306841627465545,0.03125,4.1676471644211155,-0.5994341627465545,2.3404878167280807,1.7410536539815262
South Africa,0.11935443482756253,0.21235375340223991,0.0,0.7172578968454977,-0.21235375340223991,0.11935443482756253,-0.09299931857467739
South Sudan,0.4918055893566967,1.707416808844132,2.3958333333333335,0.8645413494551426,0.6884165244892015,-1.9040277439766369,-1.2156112194874353
Spain,,,,1.2816901408450705,,,
Sri Lanka,,19.375,,14.287354768981356,,,
Sudan,1.394463553425399,3.552484502552818,2.4179011108884882,4.066192096192376,-1.1345833916643295,-1.0234375574630892,-2.158020949127419
Sweden,,,,0.0,,,
Syria,0.45947802197802196,,,59.813617862386174,,,
Tajikistan,0.7218818278954069,0.5810147043928099,0.35918003565062384,5.274889133152364,-0.22183466874218605,0.36270179224478305,0.140867123502597
Tanzania,,,,0.027287319422150885,,,
Thailand,0.2857142857142857,0.9695238095238095,,0.8485150556854119,,,-0.6838095238095238
Togo,0.0,0.0,,0.08391608391608392,,,0.0
Trinidad and Tobago,,,,0.8571428571428571,,,
Tunisia,,,,2.0636942675159236,,,
Turkey,19.560774412850296,19.600305741438223,,5.515021120397355,,,-0.03953132858792685
Uganda,1.0251224938235437,0.8909280754993122,0.031050228310502265,3.5723461767748046,-0.8598778471888099,0.9940722655130414,0.1341944183242315
Ukraine,,,,39.43599257884972,,,
United Arab Emirates,0.0,0.0,,1.0,,,0.0
United Kingdom,,,,0.6330275229357798,,,
United States of America,4.0,,,11.166666666666666,,,
Uzbekistan,,,,12.066666666666666,,,
Venezuela,,0.0,,0.02164502164502164,,,
Yemen (North Yemen),3.5865030701182365,5.261205725893345,5.350485991995425,17.016715590071453,0.0892802661020804,-1.7639829218771887,-1.6747026557751084
Zambia,,,,0.0,,,
Zimbabwe (Rhodesia),,,,0.0,,,
